Station,Year,Month,Day,date,station,year,month,Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C)
Admiralty,2020,1,1,2020-01-01,S104,2020,1,27.5,31.1,25.4
Admiralty,2020,1,2,2020-01-02,S104,2020,1,27.4,30.3,25
Admiralty,2020,1,3,2020-01-03,S104,2020,1,27.5,30.4,25.7
Admiralty,2020,1,4,2020-01-04,S104,2020,1,26.7,30.3,25.2
Admiralty,2020,1,5,2020-01-05,S104,2020,1,27.6,31.6,25.1
Admiralty,2020,1,6,2020-01-06,S104,2020,1,26,30.7,23.8
Admiralty,2020,1,7,2020-01-07,S104,2020,1,25.9,29.6,23.3
Admiralty,2020,1,8,2020-01-08,S104,2020,1,27.2,30.8,25
Admiralty,2020,1,9,2020-01-09,S104,2020,1,27.5,31.3,25.6
Admiralty,2020,1,10,2020-01-10,S104,2020,1,26.9,30.3,25.1
Admiralty,2020,1,11,2020-01-11,S104,2020,1,27.3,30.1,25.1
Admiralty,2020,1,12,2020-01-12,S104,2020,1,27.7,32.4,25.1
Admiralty,2020,1,13,2020-01-13,S104,2020,1,27.2,31.7,24.3
Admiralty,2020,1,14,2020-01-14,S104,2020,1,27.2,31.8,24.6
Admiralty,2020,1,15,2020-01-15,S104,2020,1,27.2,30.5,25.2
Admiralty,2020,1,16,2020-01-16,S104,2020,1,27.5,31.6,25.9
Admiralty,2020,1,17,2020-01-17,S104,2020,1,27.8,32.4,24.8
Admiralty,2020,1,18,2020-01-18,S104,2020,1,27.7,32.1,25.4
Admiralty,2020,1,19,2020-01-19,S104,2020,1,28,32.6,25.6
Admiralty,2020,1,20,2020-01-20,S104,2020,1,27.6,31.5,25.8
Admiralty,2020,1,21,2020-01-21,S104,2020,1,25.9,27.6,24.1
Admiralty,2020,1,22,2020-01-22,S104,2020,1,27.6,31.6,25
Admiralty,2020,1,23,2020-01-23,S104,2020,1,27.7,31.9,25.2
Admiralty,2020,1,24,2020-01-24,S104,2020,1,27.6,31.3,25
Admiralty,2020,1,25,2020-01-25,S104,2020,1,27.6,32.7,24.4
Admiralty,2020,1,26,2020-01-26,S104,2020,1,28.1,33.7,24.8
