Station,Year,Month,Day,date,station,year,month,Mean Wind Speed (km/h),Max Wind Speed (km/h),StationType,StationName,geometry
Paya Lebar,2020,1,1,2020-01-01,S06,2020,1,20.2,46.4,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,2,2020-01-02,S06,2020,1,17.3,42.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,3,2020-01-03,S06,2020,1,18,46.4,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,4,2020-01-04,S06,2020,1,19.1,48.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,5,2020-01-05,S06,2020,1,20.2,38.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,6,2020-01-06,S06,2020,1,14.8,46.4,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,7,2020-01-07,S06,2020,1,15.8,44.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,8,2020-01-08,S06,2020,1,19.4,46.4,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,9,2020-01-09,S06,2020,1,19.1,42.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,10,2020-01-10,S06,2020,1,11.9,48.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,11,2020-01-11,S06,2020,1,11.9,25.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,12,2020-01-12,S06,2020,1,10.4,29.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,13,2020-01-13,S06,2020,1,16.9,38.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,14,2020-01-14,S06,2020,1,17.6,37.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,15,2020-01-15,S06,2020,1,16.9,33.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,16,2020-01-16,S06,2020,1,16.2,33.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,17,2020-01-17,S06,2020,1,17.3,37.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,18,2020-01-18,S06,2020,1,15.8,35.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,19,2020-01-19,S06,2020,1,15.8,35.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,20,2020-01-20,S06,2020,1,16.6,35.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,21,2020-01-21,S06,2020,1,14.4,40.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,22,2020-01-22,S06,2020,1,18.4,38.9,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,23,2020-01-23,S06,2020,1,17.6,40.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,24,2020-01-24,S06,2020,1,18.7,42.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,25,2020-01-25,S06,2020,1,13.3,31.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,26,2020-01-26,S06,2020,1,13,29.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,27,2020-01-27,S06,2020,1,9.4,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,1,28,2020-01-28,S06,2020,1,9.7,40.7,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
